,Song Title,Song BPM,Song Duration,Genre
0,Finesse (Pink Panda Remix),124.00,209,Dance
1,Havana (Jose Knight Name &amp; Number Bootleg),125.00,238,Mashup
2,Bartier Cardi (Clean),138.00,224,Hip-Hop
3,Caroline,120.00,194,
4,Bartier Cardi (Dirty),138.00,224,Hip-Hop
5,Heartbeat,120.00,272,
6,Chill Bill,108.00,177,
7,"All The Way Up ft. French Montana, Infared, and Remy Ma ",87.57,226,
8,Low Life ft. The Weeknd,71.99,323,
9,No Limit (Remix Dirty),88.00,278,Hip-Hop
10,Lady Killers ft. Hoodie Allen,73.01,250,
11,Lady Killers II,136.00,295,
12,Monica Lewinsky (ft. Skizzy Mars &amp; KYLE),120.00,244,
13,Jordan Belfort,80.00,205,
14,Black Friday,109.84,428,
15,1 Night,130.00,245,
16,Stir Fry (Dirty),91.00,192,Hip-Hop
17,Motor Sport (Dirty),138.00,323,Hip-Hop
18,Ric Flair Drip (Dirty),100.00,172,Hip-Hop
19,Ric Flair Drip (DJ Rocco &amp; DJ Ever B Remix Dirty),100.00,196,Twerk
20,"THat Part (Black Hippy Remix) Feat. Kendrick Lamar, Ab-Soul &amp; Jay Rock",113.02,297,
21,The Hills ft. Eminem,125.43,242,
22,Ric Flair Drip (Clean),100.00,172,Hip-Hop
23,Go Legend (Clean),75.00,269,Hip-Hop
24,Rockstar (Clean),80.00,218,Hip-Hop
25,Good Drank (Clean),130.00,296,Hip-Hop
26,4 AM (Dirty),75.00,255,Hip-Hop
27,How Long (Remix),110.00,207,Pop
28,Lemon (Clean),95.00,187,Pop
29,Versace On The Floor (Radio Edit),100.00,201,Pop
30,Look What You Made Me Do (Original Mix),128.00,211,Pop
31,Congratulations (Clean),123.00,220,Hip-Hop
32,White Iverson (Clean),86.69,212,R&amp;B
33,Supastars (Dirty),75.95,294,Hip-Hop
34,White Iverson (Dirty),130.00,254,Hip-Hop
35,Congratulations (Dirty),123.00,220,Hip-Hop
36,Congratulations (Instrumental),123.00,220,Hip-Hop
37,Pick It Up (Dirty),87.00,207,Hip-Hop
38,Kings Dead (Dirty),164.00,145,Hip-Hop
39,All The Stars (Dirty),96.80,234,Hip-Hop
40,Plain Jane (Dirty),85.00,174,Hip-Hop
41,Bodak Yellow (Statik Link Remix),78.00,185,Hip-Hop
42,All The Stars (Clean),96.80,235,Hip-Hop
43,Motor Sport (Clean),138.00,323,Hip-Hop
44,Dont Nobody Want None (Clean),124.00,179,Hip-Hop
45,No Hearts No Love (Clean),87.00,225,Hip-Hop
46,Something New (Clean),87.60,200,Hip-Hop
47,Temperature (Dirty),96.00,200,Hip-Hop
48,What Lovers Do (Clean),110.00,200,Pop
49,Attention (Original Mix),100.00,211,Pop
50,Bodak Yellow (Clean),125.00,223,Hip-Hop
51,Bodak Yellow (Dirty),125.00,224,Hip-Hop
52,Mi Gente,105.00,184,Latin
53,Shape Of You (MMP Intro Edit) (Clean),96.00,260,Pop
54,Humble (Dj Rukus Intro Edit) (Clean),150.00,204,Hip Hop
55,Humble (Dj Rukus Intro Edit) (Dirty),75.00,204,Hip Hop
56,Thats What I Like (Dj Rukus Intro Edit) (Clean),134.00,257,Pop
57,Thats What I Like (Dj Rukus Intro Edit) (Dirty),134.00,257,Pop
58,Bad and Boujee (Dj Rukus Intro Edit) (Clean),127.00,362,Hip Hop
59,Bad and Boujee (Dj Rukus Intro Edit) (Dirty),127.00,362,Hip Hop
60,XO Tour Life (Dj Rukus Intro Edit) (Dirty),77.50,198,Hip Hop
61,Mask Off (Dj Rukus Intro Edit) (Dirty),75.00,230,Hip Hop
62,XO Tour Life (Dj Rukus Intro Edit) (Clean),77.50,198,Hip Hop
63,Mask Off (Dj Rukus Intro Edit) (Clean),75.00,230,Hip Hop
64,Im the One (Dj Rukus Intro Edit) (Clean),81.00,320,Hip Hop
65,Im the One (Dj Rukus Intro Edit) (Dirty),81.00,320,Hip Hop
66,24K Magic (Dj Rukus Intro Edit) (Clean),107.00,233,Pop
67,Stay (Dj Rukus Intro Edit) (Clean),102.00,228,Pop
68,Black Beatles (Intro) (Clean),146.00,292,Hip Hop
69,Black Beatles (Intro) (Dirty),146.00,292,Hip Hop
70,Starboy (Intro) (Clean),93.00,247,Pop
71,Location (Dj Rukus Intro Edit) (Clean),80.00,228,R&amp;B
72,Theres Nothing Holdin Me Back (MMP Intro Edit) (Clean),122.00,251,Pop
73,Redbone (Dj Rukus Intro Edit) (Clean),80.00,316,R&amp;B
74,iSpy (Clean),75.00,247,Hip Hop
75,iSpy (Dirty),75.00,248,Hip Hop
76,Scars To Your Beautiful (RARRI Intro) (Clean),97.00,250,Pop
77,Slow Hands (Intro),85.98,363,Pop
78,Love On The Brain (Dj Rukus Intro Edit) (Clean),85.50,269,R&amp;B
79,I Feel It Coming (Dj Rukus Intro Edit) (Clean),93.00,258,Pop
80,Bounce Back (Dj Rukus Intro Edit) (Dirty),81.50,240,Hip Hop
81,Bounce Back (Dj Rukus Intro Edit) (Clean),81.50,240,Hip Hop
82,Strip That Down (Dj Rukus Intro Edit) (Clean),106.00,226,Hip Hop
83,Fake Love (Dj Rukus Intro Edit) (Clean),134.00,236,R&amp;B
84,Fake Love (Dj Rukus Intro Edit) (Dirty),134.00,236,R&amp;B
85,Paris (Intro),100.00,259,Pop
86,Side to Side (Intro) (Extra Clean),79.50,267,Pop
87,Feel It Still (Dj Rukus Clap In Intro) (Clean),158.23,171,Rock
88,Let Me Love You (Dj Rukus Intro Edit - Clean),100.00,230,Pop
89,Thunder (MPP QuickHitter) (Clean),84.00,125,Rock
90,Cant Stop The Feeling (MMP Intro) (Clean),113.00,265,Pop
91,Bank Account (Dj Rukus Intro Edit) (Clean),150.00,256,Hip Hop
92,Rake It Up (Dj Rukus Intro Edit) (Clean),75.00,294,Hip Hop
93,Bank Account (Dj Rukus Intro Edit) (Dirty),150.00,256,Hip Hop
